common names,formulae
aws-cdk,aws-cdk
exiftool,exiftool
jpeg,jpeg
robotsandpencils/made/xcodes: xcodes,robotsandpencils/made/xcodes
openexr,openexr
kotlin,kotlin
weaveworks/tap/eksctl: eksctl,weaveworks/tap/eksctl
k6,k6
checkov,checkov
cmake-docs,cmake-docs
tldr,tldr
gts,gts
qrencode,qrencode
plantuml,plantuml
gsettings-desktop-schemas,gsettings-desktop-schemas
ffmpeg,ffmpeg@4
cfn-lint,cfn-lint
kafka,kafka
semgrep,semgrep
libxmlsec1,libxmlsec1
chruby,chruby
pyqt,pyqt
shivammathur/php/php@7.3: php,shivammathur/php/php@7.3
packer,packer
groonga,groonga
docker-machine,docker-machine
chezmoi,chezmoi
shfmt,shfmt
getsentry/tools/sentry-cli: sentry-cli,getsentry/tools/sentry-cli
tbb,tbb
dnsmasq,dnsmasq
homeport/tap/dyff: dyff,homeport/tap/dyff
scala,scala
libmagic,libmagic
bazel,bazel
rclone,rclone
proj,proj
veracode/tap/gen-ir: gen-ir,veracode/tap/gen-ir
apktool,apktool
octave,octave
talisman,talisman
fontconfig,fontconfig
unixodbc,unixodbc
neofetch,neofetch
pcre,pcre
libnghttp2,libnghttp2
go-task/tap/go-task: go-task,go-task/tap/go-task
skaffold,skaffold
pygobject3,pygobject3
sass/sass/sass: sass,sass/sass/sass
ack,ack
openshift-cli,openshift-cli
glib-networking,glib-networking
portaudio,portaudio
ykman,ykman
openapi-generator,openapi-generator
python-tk@3.9: python-tk,python-tk@3.9
blueutil,blueutil
groovy,groovy
romkatv/powerlevel10k/powerlevel10k: powerlevel10k,romkatv/powerlevel10k/powerlevel10k
oven-sh/bun/bun: bun,oven-sh/bun/bun
jenkins-lts,jenkins-lts
ruby@2.7: ruby,ruby@2.7
ios-deploy,ios-deploy
nushell,nushell
oci-cli,oci-cli
conan,conan
berkeley-db,berkeley-db
node-build,node-build
n,n
oh-my-posh,oh-my-posh
suite-sparse,suite-sparse
zsh-autosuggestions,zsh-autosuggestions
smartmontools,smartmontools
libgit2,libgit2
saml2aws,saml2aws
qpdf,qpdf
mpfr,mpfr
cloc,cloc
postgresql@12: postgresql,postgresql@12
vala,vala
mingw-w64,mingw-w64
md5sha1sum,md5sha1sum
apache-spark,apache-spark
teleport,teleport
luajit,luajit
azure/functions/azure-functions-core-tools@4: azure-functions-core-tools,azure/functions/azure-functions-core-tools@4
aws-elasticbeanstalk,aws-elasticbeanstalk
shivammathur/php/php@7.2: php,shivammathur/php/php@7.2
ant,ant
helix,helix
supabase/tap/supabase: supabase,supabase/tap/supabase
libraw,libraw
typescript,typescript
libsoup,libsoup
glab,glab
doctl,doctl
shared-mime-info,shared-mime-info
angular-cli,angular-cli
trivy,trivy
postgis,postgis
broot,broot
shivammathur/php/php@8.1: php,shivammathur/php/php@8.1
stern,stern
media-info,media-info
cloudflare/cloudflare/cloudflared: cloudflared,cloudflare/cloudflare/cloudflared
findutils,findutils
bazelisk,bazelisk
libxslt,libxslt
zookeeper,zookeeper
gpgme,gpgme
nano,nano
libvirt,libvirt
buildifier,buildifier
sip,sip
macvim,macvim
ncdu,ncdu
jadx,jadx
libgcrypt,libgcrypt
gnu-getopt,gnu-getopt
gtk4,gtk4
bitwarden-cli,bitwarden-cli
just,just
